Metadata_sample_name,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_MaxFeretDiameter,AreaShape_FilledArea,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Intensity_MeanIntensity_LMX,Intensity_MeanIntensity_TH,Intensity_MaxIntensity_LMX,Intensity_MaxIntensity_TH,Intensity_MinIntensity_LMX,Intensity_MinIntensity_TH,Location_Center_X,Location_Center_Y
S1-TH,1,507,627,528,0.8204077868447726,25.40733061895184,1,0.8086124401913876,33.37663853655727,33.67539029258259,19.2548762286,0.019963633745185165,85.94112549695427,0.9602272727272727,0.07225129,0.526876,0.13725490868091583,0.8980582356452942,0.03529411926865578,0.12621359527111053,182.00197238658777,350.27810650887574
S1-TH,2,954,1176,975,0.744953409862817,34.8521236896311,1,0.8112244897959183,42.95346318982906,42.72589826400643,28.503151471038706,0.08073628136636365,116.08326112068524,0.9784615384615385,0.11000058,0.25647253,0.4274509847164154,0.6893203854560852,0.03921568766236305,0.10194174945354462,327.9821802935011,288.3333333333333
S1-TH,3,732,920,753,0.8069626419250592,30.52886088189566,1,0.7956521739130434,40.311288741492746,39.74016413774982,23.47063966880164,0.02057847178374419,103.84062043356595,0.9721115537848606,0.05946618,0.10151737,0.16470588743686676,0.24271844327449799,0.019607843831181526,0.02427184395492077,43.84836065573771,132.3237704918033
S1-TH,4,614,828,636,0.8202482906769709,27.96013377055607,1,0.7415458937198067,37.107950630558946,37.037837678658256,21.1859261673469,-0.2645727227908423,96.66904755831213,0.9654088050314465,0.03932412,0.31301188,0.23137255012989044,0.5970873832702637,0.003921568859368563,0.08252426981925964,287.09934853420197,269.35342019543975
S1-TH,5,488,624,503,0.5914582552253784,24.926710529686012,1,0.782051282051282,29.068883707497267,27.824055875969265,22.435527349890826,-0.5601632180462679,80.76955262170047,0.9701789264413518,0.061491493,0.247155,0.18039216101169586,0.5679611563682556,0.0235294122248888,0.033980581909418106,349.030737704918,126.93852459016394
S1-TH,6,380,486,396,0.7281129121422805,21.996159369293583,1,0.7818930041152263,27.294688127912362,26.65090224299853,18.268053103841495,0.11390501870211467,73.11269837220809,0.9595959595959596,0.15106319,0.1699541,0.29019609093666077,0.3349514603614807,0.04313725605607033,0.06796116381883621,379.90263157894736,338.13157894736844
S1-TH,7,372,462,387,0.5320426855507334,21.76338922689847,1,0.8051948051948052,25.059928172283335,23.752780974350248,20.111896109365826,-1.0407192979607476,70.2842712474619,0.9612403100775194,0.035483874,0.28655142,0.13725490868091583,0.5436893105506897,0.0117647061124444,0.058252427726984024,485.8790322580645,116.16129032258064
S1-TH,8,468,572,480,0.6216552081851232,24.410573670769317,1,0.8181818181818182,29.068883707497267,27.595715221573485,21.61547557340955,-0.40784944921585586,78.5269119345812,0.975,0.25059474,0.12557042,0.8549019694328308,0.20388349890708923,0.0235294122248888,0.029126213863492012,175.22008547008548,309.4294871794872
S1-TH,9,195,272,204,0.7612067279705232,15.756957549709801,1,0.7169117647058824,20.0,19.622450491898707,12.72534171003278,0.8379138295739409,52.04163056034261,0.9558823529411765,0.056128766,0.32870296,0.125490203499794,0.6359223127365112,0.03529411926865578,0.058252427726984024,290.1948717948718,220.26153846153846
S1-TH,10,154,192,161,0.6950936197486044,14.002817212590296,1,0.8020833333333334,17.08800749063506,16.520063706410195,11.876591485349282,-1.3104020746754068,44.384776310850235,0.9565217391304348,0.09982174,0.28085995,0.19607843458652496,0.4805825352668762,0.0470588244497776,0.09223300963640213,191.67532467532467,46.3051948051948
S1-TH,11,104,144,110,0.5657383444933106,11.507254783503184,1,0.7222222222222222,13.416407864998739,12.757511899457818,10.519650654774892,0.9484376959873347,36.384776310850235,0.9454545454545454,0.059653103,0.6709297,0.08627451211214066,0.9805825352668762,0.0313725508749485,0.2330097109079361,160.625,333.3942307692308
S1-TH,12,454,588,474,0.6913413536069611,24.04268606686374,1,0.7721088435374149,29.154759474226502,28.402488146232333,20.52160124987854,-0.2402850261766812,79.35533905932738,0.9578059071729957,0.059894662,0.062069654,0.1764705926179886,0.1650485396385193,0.027450980618596077,0.02427184395492077,132.1784140969163,431.89867841409693
S1-TH,13,303,462,315,0.8235078346774615,19.64157789116634,1,0.6558441558441559,26.076809620810597,26.176982307034166,14.85033025295459,0.6790277305037259,66.18376618407356,0.9619047619047619,0.06488055,0.12757538,0.2862745225429535,0.25242719054222107,0.0235294122248888,0.029126213863492012,363.96039603960395,364.74587458745873
S1-TH,14,448,588,464,0.6842533673661568,23.883285285767386,1,0.7619047619047619,28.861739379323623,28.04470672498247,20.451444065837755,0.15855585595276098,78.18376618407356,0.9655172413793104,0.11842612,0.059845302,0.2078431397676468,0.11650485545396805,0.03529411926865578,0.014563106931746006,104.83035714285714,237.56026785714286
